Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,goalHome,goalAway,hwinvalue,awinvalue,count
20230122,Лидс,Брентфорд,0,0,D,0.0,0.0,0.5,0.5,1
20230122,Манчестер Сити,Вулверхэмптон,1,0,H,1.0,0.0,1.0,0.0,1
20230121,Кристал Пэлас,Ньюкасл Юнайтед,0,0,D,0.0,0.0,0.5,0.5,1
20230121,Борнмут,Ноттингем Форест,1,0,H,1.0,0.0,1.0,0.0,1
20230121,Вест Хэм,Эвертон,2,0,H,1.0,0.0,1.0,0.0,1
20230121,Лестер,Брайтон,1,1,D,1.0,1.0,0.5,0.5,1
20230121,Саутгемптон,Астон Вилла,0,0,D,0.0,0.0,0.5,0.5,1
20230121,Ливерпуль,Челси,0,0,D,0.0,0.0,0.5,0.5,1
20230119,Манчестер Сити,Тоттенхэм,0,2,A,0.0,1.0,0.0,1.0,1
20230118,Кристал Пэлас,Манчестер Юнайтед,0,1,A,0.0,1.0,0.0,1.0,1
20230115,Тоттенхэм,Арсенал,0,2,A,0.0,1.0,0.0,1.0,1
20230115,Ньюкасл Юнайтед,Фулхэм,0,0,D,0.0,0.0,0.5,0.5,1
20230115,Челси,Кристал Пэлас,0,0,D,0.0,0.0,0.5,0.5,1
20230114,Брентфорд,Борнмут,1,0,H,1.0,0.0,1.0,0.0,1
20230114,Брайтон,Ливерпуль,0,0,D,0.0,0.0,0.5,0.5,1
20230114,Вулверхэмптон,Вест Хэм,0,0,D,0.0,0.0,0.5,0.5,1
20230114,Ноттингем Форест,Лестер,0,0,D,0.0,0.0,0.5,0.5,1
20230114,Эвертон,Саутгемптон,1,0,H,1.0,0.0,1.0,0.0,1
20230114,Манчестер Юнайтед,Манчестер Сити,0,0,D,0.0,0.0,0.5,0.5,1
20230113,Астон Вилла,Лидс,1,0,H,1.0,0.0,1.0,0.0,1
20230112,Фулхэм,Челси,1,0,H,1.0,0.0,1.0,0.0,1
20230105,Челси,Манчестер Сити,0,0,D,0.0,0.0,0.5,0.5,1
20230104,Астон Вилла,Вулверхэмптон,0,1,A,0.0,1.0,0.0,1.0,1
20230104,Кристал Пэлас,Тоттенхэм,0,0,D,0.0,0.0,0.5,0.5,1
20230104,Лидс,Вест Хэм,1,1,D,1.0,1.0,0.5,0.5,1
20230104,Саутгемптон,Ноттингем Форест,0,1,A,0.0,1.0,0.0,1.0,1
20230103,Манчестер Юнайтед,Борнмут,1,0,H,1.0,0.0,1.0,0.0,1
20230103,Арсенал,Ньюкасл Юнайтед,0,0,D,0.0,0.0,0.5,0.5,1
